year,base_cost,cost_per_animal,nvacc,prop_willing,charged,Commune,new_cost
2018,4041.15,0.5095537137392413,3137,1,0,Overall,2.038221230474976
2018,4041.15,0.5095537137392413,3137,0.993421052631579,500,Overall,1.895877421464425
2018,4041.15,0.5095537137392413,3137,0.9583333333333334,1000,Overall,1.7924806983162036
2018,4041.15,0.5095537137392413,3137,0.8055555555555556,1500,Overall,1.896545956345978
2018,4041.15,0.5095537137392413,3137,0.804093567251462,2000,Overall,1.7485784648769105
2018,4041.15,0.5095537137392413,3137,0.6615497076023392,2500,Overall,1.9429026816960322
2018,4041.15,0.5095537137392413,3137,0.6564327485380117,3000,Overall,1.8072068338889906
2018,4041.15,0.5095537137392413,3137,0.5950292397660819,3500,Overall,1.8588457781900214
2018,4041.15,0.5095537137392413,3137,0.5950292397660819,4000,Overall,1.7079707027524835
2018,4041.15,0.5095537137392413,3137,0.5657894736842105,4500,Overall,1.6689804493435139
2018,4041.15,0.5095537137392413,3137,0.5657894736842105,5000,Overall,1.5181053739059762
2018,4041.15,0.5095537137392413,3137,0.024853801169590642,5500,Overall,50.92233426694492
2018,4041.15,0.5095537137392413,3137,0.024853801169590642,6000,Overall,50.77145919150738
2018,4041.15,0.5095537137392413,3137,0.021929824561403508,6500,Overall,57.53151212897108
2018,4041.15,0.5095537137392413,3137,0.021929824561403508,7000,Overall,57.38063705353354
2018,4041.15,0.5095537137392413,3137,0.021198830409356724,7500,Overall,59.2553788094634
2018,4041.15,0.5095537137392413,3137,0.021198830409356724,8000,Overall,59.10450373402586
2018,4041.15,0.5095537137392413,3137,0.019736842105263157,8500,Overall,63.45499939496078
2018,4041.15,0.5095537137392413,3137,0.019736842105263157,9000,Overall,63.30412431952324
2018,4041.15,0.5095537137392413,3137,0.019736842105263157,9500,Overall,63.1532492440857
2018,4041.15,0.5095537137392413,3137,0.019736842105263157,10000,Overall,63.00237416864817
2018,4041.15,0.5095537137392413,3137,7.309941520467836e-4,10500,Overall,1759.8682667053624
2018,4041.15,0.5095537137392413,3137,7.309941520467836e-4,11000,Overall,1759.717391629925
2018,4041.15,0.5095537137392413,3137,7.309941520467836e-4,11500,Overall,1759.5665165544874
2018,4041.15,0.5095537137392413,3137,7.309941520467836e-4,12000,Overall,1759.4156414790498
2018,4041.15,0.5095537137392413,3137,7.309941520467836e-4,12500,Overall,1759.2647664036124
2018,4041.15,0.5095537137392413,3137,7.309941520467836e-4,13000,Overall,1759.1138913281748
2018,4041.15,0.5095537137392413,3137,7.309941520467836e-4,13500,Overall,1758.9630162527371
2018,4041.15,0.5095537137392413,3137,7.309941520467836e-4,14000,Overall,1758.8121411772997
2018,4041.15,0.5095537137392413,3137,7.309941520467836e-4,14500,Overall,1758.6612661018623
2018,4041.15,0.5095537137392413,3137,7.309941520467836e-4,15000,Overall,1758.5103910264247
2018,4041.15,0.5095537137392413,3137,0,15500,Overall,Inf
2018,4041.15,0.5095537137392413,3137,0,16000,Overall,Inf
2018,4041.15,0.5095537137392413,3137,1,0,Andasibe,2.038221230474976
2018,4041.15,0.5095537137392413,3137,0.9947368421052631,500,Andasibe,1.8941621403838664
2018,4041.15,0.5095537137392413,3137,0.968421052631579,1000,Andasibe,1.7784782936371282
2018,4041.15,0.5095537137392413,3137,0.6368421052631579,1500,Andasibe,2.320201499226606
2018,4041.15,0.5095537137392413,3137,0.6368421052631579,2000,Andasibe,2.1693264237890677
2018,4041.15,0.5095537137392413,3137,0.37894736842105264,2500,Andasibe,3.3950973143434986
