Commune,nvacc,cov_est,cov_est_lower,cov_est_upper,pop,hdr_cov_est,hdr_cov_est_lower,hdr_cov_est_upper
Andasibe,254,0.6086956521739131,0.3854189573888497,0.8029235760309856,12372.653333604336,29.7,18.8,39.1
Moramanga,1756,0.6017191977077364,0.5482410933675059,0.6534559773257738,42785.32104206085,14.7,13.4,15.9
