Date,Fokontany,Location,AdultDogs,Puppies,Cats,Kittens,Roaming,WillingnessPay,Point,Commune
19-Apr-18,Andasibe,Andasibe,3,0,0,0,Fefy,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,0,0,1,0,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,1,0,0,1,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,0,0,1,0,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,0,0,1,2,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,1,1,1,0,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,1,1,0,0,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,1,0,1,2,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,0,0,0,2,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,0,1,1,0,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,2,0,1,0,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,1,0,1,0,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,1,0,1,0,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,0,0,0,1,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,1,0,1,1,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,1,0,0,1,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,1,0,1,2,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,0,0,1,0,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,0,0,1,0,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,1,0,1,1,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,0,0,2,0,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,3,0,3,1,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,0,0,1,0,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,1,0,1,1,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,0,0,3,1,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,0,0,1,1,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,0,0,3,0,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,4,0,2,4,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,1,0,2,0,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,0,0,4,0,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,0,0,1,0,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,3,0,3,1,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,0,0,1,0,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,0,0,1,0,Mireny,5000,Andasibe,Andasibe
19-Apr-18,Andasibe,Andasibe,0,0,1,0,Mireny,5000,Andasibe,Andasibe
24-Apr-18,Mangarivotra,Antanamandroso,1,0,0,0,Mireny,5000,Menalamba,Andasibe
24-Apr-18,Sahavary,Menalamba,1,0,0,0,Mireny,5000,Menalamba,Andasibe
24-Apr-18,Sahavary,Menalamba,2,3,2,2,Mireny,5000,Menalamba,Andasibe
24-Apr-18,Menalamba,Menalamba,1,0,1,0,Mireny,5000,Menalamba,Andasibe
24-Apr-18,Berano,Menalamba,1,0,0,0,Mireny,5000,Menalamba,Andasibe
24-Apr-18,Morarano,Menalamba,2,0,0,0,Mireny,5000,Menalamba,Andasibe
24-Apr-18,Mangarivotra,Antanamandroso,0,0,1,0,Mireny,5000,Menalamba,Andasibe
24-Apr-18,Maromahatsinjo,Menalamba,1,0,1,0,Mireny,5000,Menalamba,Andasibe
24-Apr-18,Maromahatsinjo,Menalamba,0,0,1,0,Mireny,5000,Menalamba,Andasibe
24-Apr-18,Maromahatsinjo,Menalamba,0,0,1,0,Mireny,5000,Menalamba,Andasibe
24-Apr-18,Andasimbekady,Menalamba,2,0,0,0,Mireny,5000,Menalamba,Andasibe
24-Apr-18,Mangarivotra,Antanamandroso,0,0,1,0,Mireny,5000,Menalamba,Andasibe
24-Apr-18,Morarano,Menalamba,1,0,0,0,Mireny,5000,Menalamba,Andasibe
24-Apr-18,Morarano,Menalamba,1,0,0,0,Mireny,5000,Menalamba,Andasibe
24-Apr-18,Maromahatsinjo,Menalamba,1,0,0,0,Mireny,5000,Menalamba,Andasibe
17-Apr-18,Tsaralalana,Tsaralalana,0,1,0,0,Fefy,5000,Tsaralalana,Moramanga
17-Apr-18,Tsaralalana,Tsaralalana,2,0,0,0,Fefy,5000,Tsaralalana,Moramanga
17-Apr-18,Tsaralalana,Tsaralalana,2,0,0,0,Mireny,5000,Tsaralalana,Moramanga
17-Apr-18,Tsaralalana,Tsaralalana,1,0,0,0,Fefy,5000,Tsaralalana,Moramanga
17-Apr-18,Tsaralalana,Tsaralalana,0,0,1,0,Fefy,5000,Tsaralalana,Moramanga
17-Apr-18,Tsaralalana,Tsaralalana,0,0,1,0,Fefy,5000,Tsaralalana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,1,0,Mireny,5000,Tsaralalana,Moramanga
17-Apr-18,Tsaralalana,Tsaralalana,2,0,0,0,Fefy,5000,Tsaralalana,Moramanga
17-Apr-18,Tsaralalana,Tsaralalana,0,0,1,0,Fefy,5000,Tsaralalana,Moramanga
17-Apr-18,Tsaralalana,Tsaralalana,1,0,0,0,Mireny,5000,Tsaralalana,Moramanga
17-Apr-18,Tsaralalana,Tsaralalana,1,0,0,0,Fefy,5000,Tsaralalana,Moramanga
17-Apr-18,Tsaralalana,Tsaralalana,1,0,0,2,Fefy,5000,Tsaralalana,Moramanga
17-Apr-18,Tanambao,Antanambao,2,0,0,0,Fefy,5000,Tsaralalana,Moramanga
17-Apr-18,Moramanga Ville,Moramanga ville,2,0,0,0,Fefy,5000,Tsaralalana,Moramanga
17-Apr-18,Tsaralalana,Tsaralalana,1,0,0,0,Fefy,5000,Tsaralalana,Moramanga
17-Apr-18,Tanambao,Antanambao,1,0,8,4,Fefy,5000,Tsaralalana,Moramanga
17-Apr-18,Tsaralalana,Tsaralalana,0,0,1,0,Fefy,5000,Tsaralalana,Moramanga
17-Apr-18,Tsaralalana,Tsaralalana,0,0,1,0,Fefy,5000,Tsaralalana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,0,0,An-trano,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,1,0,Fefy,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,1,0,Fefy,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,1,0,,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,0,0,Mifatotra,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,0,0,1,0,,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,1,0,Mireny/Mifatotra,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,3,0,0,0,Fefy,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,1,0,Fefy,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,1,0,Mireny/Mifatotra,5000,Tsarahonenana,Moramanga
