REF #,Date,Dog or Cat,Dog Name,Cat Name,Sex,Age (months),Distance Travelled (m),Owner Location,Vaccination Location,Commune,Previous Vaccination,Time Since Previous Vaccine,Last Vaccination Date,Spayed/Neutered
1,06-Sep-19,dog,bobby,,M,12,1000,Ambohimadera,Antanamandroso,Moramanga,,,,
2,06-Sep-19,cat,,mimie,F,10,1000,Ambohimadera,Antanamandroso,Moramanga,,,,
3,06-Sep-19,dog,milou,,M,12,1000,Antanamandroso ouest,Antanamandroso,Moramanga,,,,
4,06-Sep-19,dog,billy,,M,24,1000,Moramanga ambony,Antanamandroso,Moramanga,,,,
5,06-Sep-19,dog,milou,,F,4,500,Moramanga ambony,Antanamandroso,Moramanga,,,,
6,06-Sep-19,dog,conan,,F,24,2000,Antanamandroso Est,Antanamandroso,Moramanga,YES,17,01-Apr-18,
7,06-Sep-19,dog,brito,,F,10,1000,Ambohimadera,Antanamandroso,Moramanga,,,,
8,06-Sep-19,cat,,minosy,F,11,2000,Antanamandroso ouest,Antanamandroso,Moramanga,,,,
9,06-Sep-19,dog,dix,,M,9,1000,Antanamandroso ouest,Antanamandroso,Moramanga,,,,
10,06-Sep-19,dog,milou,,F,24,1000,Antanamandroso ouest,Antanamandroso,Moramanga,YES,16,13-Apr-18,
11,06-Sep-19,dog,doudou ,,M,10,1000,Tsaralalana,Antanamandroso,Moramanga,,,,
12,06-Sep-19,dog,bolo ,,M,4,2000,TSARALALANA MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
13,06-Sep-19,dog,vandamme,,F,6,2000,TSARALALANA MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
14,06-Sep-19,dog,bingo,,M,36,2000,AMBOHIMADERA MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
15,06-Sep-19,cat,,minette,F,24,2000,AMBOHIMADERA MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
16,06-Sep-19,cat,,mimi,M,12,2000,AMBOHIMADERA MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
17,06-Sep-19,dog,merona,,M,5,1000,TSARAHONENANA MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
18,06-Sep-19,dog,balto,,F,5,1000,TSARAHONENANA MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
19,06-Sep-19,dog,lemahihy,,M,7,2000,AMBOHIBE MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
20,06-Sep-19,dog,zordira,,M,5,2000,AMBOHIBE MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
21,06-Sep-19,dog,kanga,,M,7,2000,AMBOHIBE MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
22,06-Sep-19,cat,,michou,F,10,2000,AMBOHITRANJAVIDY MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
23,06-Sep-19,cat,,mimi,F,7,2000,AMBOHITRANJAVIDY MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
24,06-Sep-19,cat,,minette,F,4,1000,ANTANAMANDROSO MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
25,06-Sep-19,cat,,mimi,M,72,2000,ANDASILAVA MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
26,06-Sep-19,dog,billy,,M,12,2000,AMBARILAVA,Tsaralalana,Moramanga,NO,,NO,NO
27,06-Sep-19,dog,balisama,,F,12,2000,AMBARILAVA,Tsaralalana,Moramanga,NO,,NO,NO
28,06-Sep-19,dog,medine,,M,18,1000,ANTANAMANDROSO MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
29,06-Sep-19,dog,max,,M,10,2000,AMBOHITRANJAVIDY MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
30,06-Sep-19,cat,,mimi,F,6,2000,AMBOHITRANJAVIDY MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
31,06-Sep-19,cat,,mimi,F,6,2000,AMBOHITRANJAVIDY MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
32,06-Sep-19,dog,rotsk,,M,10,1000,ANTANAMANDROSO MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
33,06-Sep-19,dog,maleh,,M,5,2000,AMBARILAVA,Tsaralalana,Moramanga,NO,,NO,NO
34,06-Sep-19,dog,lava sofina,,F,5,2000,AMBARILAVA,Tsaralalana,Moramanga,NO,,NO,NO
35,06-Sep-19,dog,ranga,,F,24,2000,AMBARILAVA,Tsaralalana,Moramanga,NO,,NO,NO
36,06-Sep-19,dog,krifotra,,M,36,1000,ANTANAMANDROSO MORAMANGA,Tsaralalana,Moramanga,YES,17,01-Apr-18,NO
37,06-Sep-19,cat,,mimi,F,24,1000,TSARAHONENANA MORAMANGA,Tsaralalana,Moramanga,YES,17,01-Apr-18,NO
38,06-Sep-19,dog,ngerona,,F,24,1500,ANTANAMANDROSO MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
39,06-Sep-19,dog,sakay,,M,5,500,MORAMANGA AMBONY,Tsaralalana,Moramanga,NO,,NO,NO
40,06-Sep-19,dog,bobby,,M,60,1500,TSARAFASINA MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
41,06-Sep-19,cat,,Minette,M,6,1000,MORAMANGA AMBONY,Tsaralalana,Moramanga,NO,,NO,NO
42,06-Sep-19,cat,,Mimi,F,24,1000,ANTANAMANDROSO MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
43,06-Sep-19,dog,Bila,,M,12,700,MORANANGA VILLE,Tsaralalana,Moramanga,NO,,NO,NO
44,06-Sep-19,dog,bilo,,F,12,700,MORANANGA VILLE,Tsaralalana,Moramanga,NO,,NO,NO
45,06-Sep-19,dog,doggy,,M,24,500,Moramanga,Tsaralalana,Moramanga,YES,17,01-Apr-18,NO
46,06-Sep-19,dog,milou,,M,36,500,Moramanga,Tsaralalana,Moramanga,YES,17,01-Apr-18,NO
47,06-Sep-19,dog,jilo,,F,24,500,MORAMANGA AMBONY,Tsaralalana,Moramanga,NO,,NO,NO
48,06-Sep-19,dog,kavanga,,F,4,500,MORAMANGA AMBONY,Tsaralalana,Moramanga,NO,,NO,NO
49,06-Sep-19,dog,lemara,,M,60,1000,TSARAMANDROSO  MORAMANGA,Tsaralalana,Moramanga,YES,17,01-Apr-18,NO
50,06-Sep-19,dog,volizy,,f,7,1000,Moramanga,Tsaralalana,Moramanga,NO,,NO,NO
51,06-Sep-19,dog,ngilo,,f,7,1000,Moramanga,Tsaralalana,Moramanga,NO,,NO,NO
52,06-Sep-19,dog,michou,,M,24,1000,TSARAHONENANA MORAMANGA,Tsaralalana,Moramanga,YES,17,01-Apr-18,NO
53,06-Sep-19,dog,malilo,,M,12,2000,MANGARIVOTRA MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
54,06-Sep-19,dog,vinitra,,M,6,1000,AMBODIAKONDRO MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
55,06-Sep-19,dog,boule,,M,12,1500,ANTANAMANDROSO MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
56,06-Sep-19,dog,balzaka,,M,4,1000,MORAMANGA AMBONY,Tsaralalana,Moramanga,NO,,NO,NO
57,06-Sep-19,dog,Kamavo,,M,7,1000,Moramanga,Tsaralalana,Moramanga,NO,,NO,NO
58,06-Sep-19,dog,Toto,,M,5,1000,Moramanga,Tsaralalana,Moramanga,NO,,NO,NO
59,06-Sep-19,dog,Milou,,F,48,500,Moramanga,Tsaralalana,Moramanga,NO,,NO,NO
60,06-Sep-19,dog,Matsarama,,F,24,400,MORAMANGA AMBONY,Tsaralalana,Moramanga,NO,,NO,NO
61,06-Sep-19,dog,Kapsily,,F,12,400,MORAMANGA AMBONY,Tsaralalana,Moramanga,NO,,NO,NO
62,06-Sep-19,dog,Scarter,,M,24,1500,TSARAFASINA MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
63,06-Sep-19,dog,Tox,,M,24,1500,TSARAHONENANA MORAMANGA,Tsaralalana,Moramanga,YES,17,01-Apr-18,NO
64,06-Sep-19,dog,Fox,,M,24,1500,TANAMBAO MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
65,06-Sep-19,dog,Mitty,,M,24,2000,CAMP DE MARIE,Tsaralalana,Moramanga,NO,,NO,NO
66,06-Sep-19,dog,Toxy,,F,18,2000,TSARALALANA MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
67,06-Sep-19,dog,Maromaso,,M,12,2000,ANTANAMANDROSO MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
68,06-Sep-19,dog,Topy,,F,24,1000,MORAMANGA AMBONY,Tsaralalana,Moramanga,YES,17,01-Apr-18,NO
69,06-Sep-19,cat,,mimi,F,36,1000,MORAMANGA AMBONY,Tsaralalana,Moramanga,YES,17,01-Apr-18,NO
70,06-Sep-19,cat,,minette,F,6,1000,MORAMANGA AMBONY,Tsaralalana,Moramanga,NO,,NO,NO
71,06-Sep-19,cat,,michou,F,6,1000,MORAMANGA AMBONY,Tsaralalana,Moramanga,NO,,NO,NO
72,06-Sep-19,dog,Pistolet,,M,8,3000,AMBOHIBE MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
73,06-Sep-19,dog,Pirina,,F,24,1000,ANTANAMANDROSO MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
74,06-Sep-19,dog,Maromaso,,F,12,1500,ANTANAMANDROSO MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
75,06-Sep-19,dog,fotsilahy,,F,12,1500,ANTANAMANDROSO MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
76,06-Sep-19,dog,Kapotsy,,M,7,1500,TSARALALANA MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
77,06-Sep-19,dog,Micky,,M,24,3000,AMBOHITRANJAVIDY MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
78,06-Sep-19,dog,Mbitrika,,F,6,3000,AMBOHITRANJAVIDY MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
79,06-Sep-19,,,,M,24,3000,AMBOHITRANJAVIDY MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
80,06-Sep-19,cat,,mimi,F,24,1000,MORAMANGA AMBONY,Tsaralalana,Moramanga,NO,,NO,NO
81,06-Sep-19,cat,,mimi,F,24,1000,MORAMANGA AMBONY,Tsaralalana,Moramanga,NO,,NO,NO
82,06-Sep-19,cat,,piso,F,36,1000,MORAMANGA AMBONY,Tsaralalana,Moramanga,NO,,NO,NO
83,06-Sep-19,dog,doggy,,M,5,1000,MORAMANGA AMBONY,Tsaralalana,Moramanga,NO,,NO,NO
84,06-Sep-19,dog,Milou,,M,6,3000,AMBARILAVA,Tsaralalana,Moramanga,NO,,NO,NO
85,10-Sep-19,cat,,mimie,M,6,500,Tanambao,Tanambao,Moramanga,,,,
86,10-Sep-19,dog,medor,,M,4,400,Tanambao,Tanambao,Moramanga,,,,
87,10-Sep-19,cat,,mimie,M,24,700,Tanambao,Tanambao,Moramanga,,,,
88,10-Sep-19,dog,mogli,,F,10,500,Tanambao,Tanambao,Moramanga,,,,
89,10-Sep-19,dog,rocky,,F,10,500,Tanambao,Tanambao,Moramanga,,,,
90,10-Sep-19,dog,pitosy,,M,14,500,Tanambao,Tanambao,Moramanga,,,,
91,10-Sep-19,dog,milou,,F,132,500,Betambako,Tanambao,Moramanga,YES,16,19-Apr-18,
92,10-Sep-19,dog,kiti,,F,72,500,Tanambao,Tanambao,Moramanga,YES,16,14-Apr-18,
93,10-Sep-19,cat,,beiby,M,7,500,Tanambao,Tanambao,Moramanga,,,,
94,10-Sep-19,dog,balto,,M,12,600,Tanambao,Tanambao,Moramanga,,,,
95,10-Sep-19,dog,rox,,F,8,500,Tanambao,Tanambao,Moramanga,,,,
96,10-Sep-19,cat,,minette,F,12,400,Tanambao,Tanambao,Moramanga,,,,
97,10-Sep-19,dog,micky,,M,9,700,Tanambao,Tanambao,Moramanga,,,,
98,10-Sep-19,dog,toto,,F,24,500,Tanambao,Tanambao,Moramanga,YES,17,01-Apr-18,
99,10-Sep-19,dog,billy,,M,36,500,Tanambao,Tanambao,Moramanga,,,,
100,10-Sep-19,cat,,mi,F,12,700,Tanambao,Tanambao,Moramanga,,,,
101,10-Sep-19,cat,,frissa,F,24,800,Tanambao,Tanambao,Moramanga,,,,
102,10-Sep-19,cat,,frisquette,F,8,800,Tanambao,Tanambao,Moramanga,,,,
103,10-Sep-19,dog,rocky,,F,60,200,Ambohitranjavidy,Tanambao,Moramanga,,,,
104,10-Sep-19,cat,,minou,M,7,200,Ambohitranjavidy,Tanambao,Moramanga,,,,
105,10-Sep-19,dog,spak,,M,12,500,Tanambao,Tanambao,Moramanga,,,,
106,10-Sep-19,dog,rocky,,M,36,700,Tanambao,Tanambao,Moramanga,,,,
107,10-Sep-19,dog,micky,,F,5,900,Tanambao,Tanambao,Moramanga,,,,
108,10-Sep-19,dog,mixa,,M,12,900,Tanambao,Tanambao,Moramanga,,,,
109,10-Sep-19,dog,toto,,M,24,1000,Tanambao,Tanambao,Moramanga,,,,
110,10-Sep-19,dog,beethoven,,F,12,1000,Tsarahonenana,Tanambao,Moramanga,,,,
111,10-Sep-19,dog,pitou,,F,8,300,Tanambao,Tanambao,Moramanga,,,,
112,10-Sep-19,dog,chicka,,F,24,700,Tanambao,Tanambao,Moramanga,,,,
113,10-Sep-19,dog,mainty,,M,132,700,Tanambao,Tanambao,Moramanga,YES,17,01-Apr-18,
114,10-Sep-19,cat,,mimie,F,24,300,Tanambao,Tanambao,Moramanga,,,,
115,10-Sep-19,dog,doggy,,M,24,300,Tanambao,Tanambao,Moramanga,YES,17,01-Apr-18,
116,10-Sep-19,dog,totosy,,M,12,500,Tanambao,Tanambao,Moramanga,,,,
117,10-Sep-19,dog,micky,,F,6,700,Tanambao,Tanambao,Moramanga,,,,
118,10-Sep-19,dog,milou,,M,24,1000,Tanambao,Tanambao,Moramanga,,,,
119,10-Sep-19,dog,pitou,,M,14,2000,Camp des marie,Tanambao,Moramanga,,,,
120,10-Sep-19,dog,milou,,F,36,700,Tanambao,Tanambao,Moramanga,YES,17,01-Apr-18,
121,10-Sep-19,cat,,mims,M,10,700,Tanambao,Tanambao,Moramanga,,,,
122,10-Sep-19,cat,,mi,M,12,1000,Tanambao,Tanambao,Moramanga,,,,
123,10-Sep-19,cat,,mimie,M,12,1000,Tanambao,Tanambao,Moramanga,,,,
124,10-Sep-19,dog,milou,,M,24,500,Tanambao,Tanambao,Moramanga,YES,17,01-Apr-18,
125,10-Sep-19,dog,kiko,,M,36,500,Tanambao,Tanambao,Moramanga,YES,17,01-Apr-18,
126,10-Sep-19,dog,milou,,F,36,500,Tanambao,Tanambao,Moramanga,YES,17,01-Apr-18,
127,10-Sep-19,dog,micky,,M,24,700,Tsaralalana,Tanambao,Moramanga,YES,17,01-Apr-18,
128,10-Sep-19,dog,toto,,M,12,1000,Ambohitranjavidy,Tanambao,Moramanga,,,,
129,10-Sep-19,dog,rex,,F,12,500,Tanambao,Tanambao,Moramanga,,,,
130,10-Sep-19,dog,mican,,F,24,500,Betambako,Tanambao,Moramanga,YES,17,01-Apr-18,
131,10-Sep-19,cat,,mimie,F,7,500,Tanambao,Tanambao,Moramanga,,,,
132,10-Sep-19,cat,,mimie,F,24,500,Tanambao,Tanambao,Moramanga,,,,
133,10-Sep-19,dog,pitou,,F,8,500,Tanambao,Tanambao,Moramanga,,,,
134,10-Sep-19,dog,roxi,,F,36,100,Tanambao,Tanambao,Moramanga,YES,17,01-Apr-18,
135,10-Sep-19,cat,,gadroka,M,48,100,Tanambao,Tanambao,Moramanga,YES,17,01-Apr-18,
136,10-Sep-19,cat,,slipana,F,48,100,Tanambao,Tanambao,Moramanga,YES,17,01-Apr-18,
137,10-Sep-19,cat,,mainty,M,12,100,Tanambao,Tanambao,Moramanga,,,,
138,10-Sep-19,cat,,bemaso,F,12,100,Tanambao,Tanambao,Moramanga,,,,
139,10-Sep-19,cat,,chocolat,M,12,100,Tanambao,Tanambao,Moramanga,,,,
140,10-Sep-19,dog,bobbi,,M,36,200,Tanambao,Tanambao,Moramanga,YES,17,01-Apr-18,
141,10-Sep-19,dog,boule,,M,72,150,Tanambao,Tanambao,Moramanga,YES,17,01-Apr-18,
142,10-Sep-19,dog,Locki,,F,24,700,Tanambao,Tanambao,Moramanga,YES,17,01-Apr-18,
143,10-Sep-19,dog,mince,,M,48,700,Tanambao,Tanambao,Moramanga,YES,17,01-Apr-18,
144,10-Sep-19,dog,bobby,,M,24,700,Tanambao,Tanambao,Moramanga,YES,17,01-Apr-18,
145,10-Sep-19,dog,micky,,M,108,1000,Tanambao,Tanambao,Moramanga,YES,17,01-Apr-18,
146,10-Sep-19,dog,foxi,,F,4,750,Tanambao,Tanambao,Moramanga,,,,
147,10-Sep-19,dog,black,,M,9,700,Tanambao,Tanambao,Moramanga,,,,
148,10-Sep-19,dog,booby,,M,36,500,Tanambao,Tanambao,Moramanga,,,,
149,10-Sep-19,cat,,piso,F,120,200,Tanambao,Tanambao,Moramanga,,,,
150,12-Sep-19,cat,,minou,F,24,500,Ambohidronono,Ambohidronono,Ambohidronono,,,,
151,12-Sep-19,cat,,minette,F,4,1000,Ambohidronono,Ambohidronono,Ambohidronono,,,,
152,12-Sep-19,dog,turbo,,M,24,10000,Ambodirano Mangoro,Ambohidronono,Ambohidronono,,,,
153,12-Sep-19,dog,durata,,M,48,1000,Ambohidronono,Ambohidronono,Ambohidronono,,,,
154,12-Sep-19,dog,michou,,M,12,1000,Ambohidronono,Ambohidronono,Ambohidronono,,,,
155,12-Sep-19,dog,borosy,,M,,1000,Ambohidronono,Ambohidronono,Ambohidronono,,,,
156,12-Sep-19,dog,milou,,F,48,1000,Ambohidronono,Ambohidronono,Ambohidronono,,,,
157,12-Sep-19,cat,,mimie,M,36,1000,Ambohidronono,Ambohidronono,Ambohidronono,,,,
158,12-Sep-19,dog,toxy,,M,12,1000,Ambohidronono,Ambohidronono,Ambohidronono,,,,
159,12-Sep-19,dog,bobby,,F,36,2000,Ambohidronono,Ambohidronono,Ambohidronono,,,,
160,12-Sep-19,dog,tonga,,M,48,2000,Ambohidronono,Ambohidronono,Ambohidronono,,,,
161,12-Sep-19,cat,,mimie,F,48,1000,Ambohidronono,Ambohidronono,Ambohidronono,,,,
162,12-Sep-19,dog,baffle,,F,48,1000,Ambohidronono,Ambohidronono,Ambohidronono,,,,
163,12-Sep-19,dog,toxy,,M,36,1000,Ambohidronono,Ambohidronono,Ambohidronono,,,,
164,12-Sep-19,dog,kilou,,M,12,1000,Ambohidronono,Ambohidronono,Ambohidronono,,,,
165,12-Sep-19,dog,tax,,M,4,1000,Ambohidronono,Ambohidronono,Ambohidronono,,,,
166,12-Sep-19,dog,bobby,,M,12,1000,Ambohidronono,Ambohidronono,Ambohidronono,,,,
167,12-Sep-19,dog,dodosy,,M,12,5000,Ambohimiadana,Ambohidronono,Ambohidronono,,,,
168,12-Sep-19,dog,nonosy,,M,12,5000,Ambohimiadana,Ambohidronono,Ambohidronono,,,,
169,12-Sep-19,dog,gucci,,M,12,4000,Ambohimiadana,Ambohidronono,Ambohidronono,,,,
170,12-Sep-19,dog,black,,M,12,1000,Ambohidronono,Ambohidronono,Ambohidronono,,,,
171,12-Sep-19,dog,tox,,M,12,1000,Ambohidronono,Ambohidronono,Ambohidronono,,,,
172,12-Sep-19,cat,,kafotsy,F,12,1000,Ambohidronono,Ambohidronono,Ambohidronono,,,,
173,12-Sep-19,dog,toto,,M,5,1000,Ambohidronono,Ambohidronono,Ambohidronono,,,,
174,12-Sep-19,dog,toto,,M,24,500,AmbohimarinaII,Ambohidronono,Ambohidronono,,,,
175,12-Sep-19,dog,tintin,,M,72,200,AmbohimarinaII,Ambohidronono,Ambohidronono,,,,
176,12-Sep-19,dog,bolot,,M,36,2000,Ambohidronono,Ambohidronono,Ambohidronono,,,,
177,12-Sep-19,dog,bota,,M,10,1000,Ambohidronono,Ambohidronono,Ambohidronono,,,,
178,12-Sep-19,dog,micky,,M,36,500,AmbohimarinaII,Ambohidronono,Ambohidronono,,,,
179,12-Sep-19,dog,mainty,,M,24,3000,AmbohimarinaII,Ambohidronono,Ambohidronono,,,,
180,12-Sep-19,dog,masika,,M,48,3000,AmbohimarinaII,Ambohidronono,Ambohidronono,,,,
181,12-Sep-19,cat,,mickey,M,24,500,Ambohidronono,Ambohidronono,Ambohidronono,,,,
182,12-Sep-19,dog,milou,,M,24,100,AmbohimarinaII,Ambohidronono,Ambohidronono,,,,
183,16-Sep-19,dog,micky,,F,24,700,Ambohimadera,Ambohimadera,Moramanga,,,,
184,16-Sep-19,dog,taky,,M,5,500,Ambohimadera,Ambohimadera,Moramanga,,,,
185,16-Sep-19,dog,tik,,M,5,500,Ambohimadera,Ambohimadera,Moramanga,,,,
186,16-Sep-19,dog,blacoop,,M,48,300,Ambohimadera,Ambohimadera,Moramanga,,,,
187,16-Sep-19,dog,blacki,,M,5,300,Ambohimadera,Ambohimadera,Moramanga,,,,
188,16-Sep-19,dog,babouche,,F,108,700,Ambohimadera,Ambohimadera,Moramanga,,,,
189,16-Sep-19,dog,doggy,,M,36,700,Ambohimadera,Ambohimadera,Moramanga,,,,
190,16-Sep-19,dog,boby,,M,7,500,Ambohimadera,Ambohimadera,Moramanga,,,,
191,16-Sep-19,dog,pitou,,M,5,100,Ambohimadera,Ambohimadera,Moramanga,,,,
192,16-Sep-19,dog,jilo,,F,12,500,cite gare Ambohimadera,Ambohimadera,Moramanga,,,,
193,16-Sep-19,dog,milou,,M,60,500,Ambohimadera,Ambohimadera,Moramanga,,,,
194,16-Sep-19,dog,patou,,M,24,500,Ambohimadera,Ambohimadera,Moramanga,,,,
195,16-Sep-19,dog,bobby,,F,8,700,Ambohimadera,Ambohimadera,Moramanga,,,,
196,16-Sep-19,dog,topi,,M,12,500,Ambohimadera,Ambohimadera,Moramanga,,,,
197,16-Sep-19,dog,milou,,M,12,700,Ambohimadera,Ambohimadera,Moramanga,,,,
198,16-Sep-19,dog,bolt,,F,9,500,Ambohimadera,Ambohimadera,Moramanga,,,,
199,16-Sep-19,dog,pitou,,M,4,500,Ambohimadera,Ambohimadera,Moramanga,,,,
200,16-Sep-19,dog,tox,,M,4,500,Ambohimadera,Ambohimadera,Moramanga,,,,
201,16-Sep-19,dog,miky,,F,4,500,Ambohimadera,Ambohimadera,Moramanga,,,,
202,16-Sep-19,dog,micky,,M,48,400,Ambohimadera,Ambohimadera,Moramanga,YES,17,12-Apr-18,
203,16-Sep-19,dog,rocky,,F,7,500,Ambohimadera,Ambohimadera,Moramanga,,,,
204,16-Sep-19,dog,fanny,,F,84,500,Ambohimadera,Ambohimadera,Moramanga,,,,
205,16-Sep-19,dog,marika,,M,48,1000,Tsarafasina,Ambohimadera,Moramanga,,,,
206,16-Sep-19,dog,pitou,,F,7,1000,Tsarafasina,Ambohimadera,Moramanga,,,,
207,16-Sep-19,dog,balomi,,M,12,1000,Tsarafasina,Ambohimadera,Moramanga,,,,
208,16-Sep-19,dog,coco,,M,5,1000,Ambohimadera,Ambohimadera,Moramanga,,,,
209,16-Sep-19,dog,mix,,M,5,250,Ambohimadera,Ambohimadera,Moramanga,,,,
210,16-Sep-19,dog,milou,,M,5,140,Ambohimadera,Ambohimadera,Moramanga,,,,
211,16-Sep-19,dog,reck,,F,24,140,Ambohimadera,Ambohimadera,Moramanga,,,,
212,16-Sep-19,dog,bouba,,M,60,100,Ambohimadera,Ambohimadera,Moramanga,,,,
213,16-Sep-19,dog,pitos,,F,11,1000,Ambohimadera,Ambohimadera,Moramanga,,,,
214,16-Sep-19,dog,bobby,,M,72,1000,Tsarafasina,Ambohimadera,Moramanga,,,,
215,16-Sep-19,dog,boutsi,,M,9,1000,Ambohimadera,Ambohimadera,Moramanga,,,,
216,16-Sep-19,dog,bella,,F,24,1000,Tsarafasina,Ambohimadera,Moramanga,,,,
217,16-Sep-19,dog,stane,,F,12,1000,Tsarafasina,Ambohimadera,Moramanga,,,,
218,16-Sep-19,dog,jorde,,M,12,1000,Tsarafasina,Ambohimadera,Moramanga,,,,
219,16-Sep-19,dog,canou,,F,24,100,Ambohimadera,Ambohimadera,Moramanga,,,,
220,16-Sep-19,dog,potsy,,F,48,1000,Tsarafasina,Ambohimadera,Moramanga,,,,
221,16-Sep-19,dog,toto,,F,12,1000,Ambohimadera,Ambohimadera,Moramanga,,,,
222,16-Sep-19,dog,rocky,,F,48,500,Ambohimadera,Ambohimadera,Moramanga,,,,
223,16-Sep-19,dog,milou,,M,48,100,Ambohimadera,Ambohimadera,Moramanga,,,,
224,16-Sep-19,dog,belou,,M,120,1000,Tsarafasina,Ambohimadera,Moramanga,,,,
225,16-Sep-19,dog,milou,,M,12,500,Ambohimadera,Ambohimadera,Moramanga,,,,
226,16-Sep-19,dog,micky,,F,36,1000,Ambohimadera,Ambohimadera,Moramanga,,,,
227,16-Sep-19,dog,bolot,,m,36,1000,Ambohimadera,Ambohimadera,Moramanga,,,,
228,16-Sep-19,dog,boby,,M,72,1000,Tsarafasina,Ambohimadera,Moramanga,,,,
229,16-Sep-19,dog,doggie,,M,48,800,Tsarafasina,Ambohimadera,Moramanga,,,,
230,16-Sep-19,dog,sophie,,F,5,100,Ambohimadera,Ambohimadera,Moramanga,,,,
231,16-Sep-19,dog,boby,,M,24,400,cite gare Ambohimadera,Ambohimadera,Moramanga,,,,
232,16-Sep-19,dog,toutoune,,F,24,700,cite gare Ambohimadera,Ambohimadera,Moramanga,,,,
233,16-Sep-19,dog,rex,,M,60,700,Ambohimadera,Ambohimadera,Moramanga,,,,
234,16-Sep-19,dog,pitou,,M,12,400,cite gare Ambohimadera,Ambohimadera,Moramanga,,,,
235,16-Sep-19,dog,midou,,M,24,400,cite gare Ambohimadera,Ambohimadera,Moramanga,,,,
236,16-Sep-19,dog,milou,,M,24,300,cite gare Ambohimadera,Ambohimadera,Moramanga,,,,
237,16-Sep-19,dog,risky,,F,18,400,Ambohimadera,Ambohimadera,Moramanga,,,,
238,16-Sep-19,dog,fox,,M,3,500,Ambohimadera,Ambohimadera,Moramanga,,,,
239,16-Sep-19,dog,drax,,F,36,500,Ambohimadera,Ambohimadera,Moramanga,,,,
240,16-Sep-19,cat,,maman'i titine,F,60,700,Ambohimadera,Ambohimadera,Moramanga,,,,
241,16-Sep-19,cat,,minette,M,9,300,Ambohimadera,Ambohimadera,Moramanga,,,,
242,16-Sep-19,cat,,lily,M,12,700,Ambohimadera,Ambohimadera,Moramanga,,,,
243,16-Sep-19,cat,,sania,F,12,300,Ambohimadera,Ambohimadera,Moramanga,,,,
244,16-Sep-19,cat,,titna,M,36,100,Ambohimadera,Ambohimadera,Moramanga,,,,
245,16-Sep-19,cat,,balou,M,12,700,Ambohimadera,Ambohimadera,Moramanga,,,,
246,16-Sep-19,dog,black,,M,24,800,Tsarafasina,Ambohimadera,Moramanga,YES,17,12-Apr-18,
247,16-Sep-19,dog,rocky,,M,11,800,Tsarafasina,Ambohimadera,Moramanga,,,,
248,16-Sep-19,dog,chassi,,F,36,800,Tsarafasina,Ambohimadera,Moramanga,,,,
249,16-Sep-19,cat,,rando,M,72,700,Ambohimadera,Ambohimadera,Moramanga,,,,
250,16-Sep-19,dog,goboul,,M,6,800,Tsarafasina,Ambohimadera,Moramanga,,,,
251,16-Sep-19,dog,tosy,,M,6,800,Tsarafasina,Ambohimadera,Moramanga,,,,
252,16-Sep-19,dog,bota,,F,36,900,Tsarafasina,Ambohimadera,Moramanga,YES,17,12-Apr-18,
253,16-Sep-19,dog,milou,,F,48,900,Tsarafasina,Ambohimadera,Moramanga,YES,17,12-Apr-18,
